"RecordId"|"Key"|"Text"
1|"FIND_AND_GET"|"Find & Get"
2|"FILTERS"|"Filters"
3|"ACTIONS"|"Actions"
4|"RECORD_VIEW_TITLE"|"Select an item from the tree"
5|"SHOW_LOCATIONS"|"Show Locations"
6|"SHOW_SWAPPED_PRODUCTS"|"Show Swapped Products"
7|"SHOW_DISABLED_ACTIONS"|"Show Disabled Actions"
8|"ADD_NEW_INSTALLED_PRODUCT"|"Add New Installed Product"
9|"ADD_NEW_LOCATION"|"Add New Location"
10|"SYNC_CONFIG"|"Sync Configuration"
11|"SYNC_DATA"|"Sync Data"
12|"SYNC_STATUS"|"Sync Status"
13|"RESET_APPLICATION_TITLE"|"Reset Application"
14|"RESET_APPLICATION_MESSAGE"|"Resetting the application erases ALL ProductIQ data from your device and restores data and configuration from the server. This process cannot be undone."
15|"RESET_YES"|"Reset"
16|"RESET_NO"|"Cancel"
17|"SEARCH"|"Search"
18|"FIND_BY_IB"|"Find by Top-Level IB"
19|"FIND_BY_TEMPLATE"|"Find By Template"
20|"FIND_BY_PRODUCT"|"Find By Product"
21|"GET"|"Get"
22|"FIND_ATTRIBUTE"|"Find an attribute"
23|"INSTALLED_PRODUCT_ID_LABEL"|"Installed Product ID"
24|"ACCOUNT_LABEL"|"Account"
25|"CONTACT_LABEL"|"Contact"
26|"STATUS_LABEL"|"Status"
27|"DATE_INSTALLED_LABEL"|"Date Installed"
28|"PREPARING_APP_MESSAGE"|"Preparing ProductIQ for the first time use. Please wait"
29|"DOWNLOAD_SELECTED_IB_MESSAGE"|"Downloading the selected Installed Products. Please wait"
30|"FIELD_UPDATE_APPLIED_MESSAGE"|"Field updates have been applied."
31|"DELETE_CONFIRM_MESSAGE"|"Are you sure?"
32|"DELETE_ERROR_MESSAGE"|"Unable to delete synced records."
33|"MESSAGE_INFO"|"Info"
34|"MESSAGE_SUCCESS"|"Success"
35|"MESSAGE_ERROR"|"Error"
36|"MESSAGE_CONFIRM"|"Confirm"
37|"MESSAGE_IB_NOT_EXISTS"|"Selected Installed Product could not be found in ProductIQ.  Use Find and Get to download this record."
38|"MESSAGE_LOC_NOT_EXISTS"|"Selected Location could not be found in ProductIQ. Use Find and Get to download this record."
39|"UPDATING_CONFIG_MESSAGE"|"Configuration Sync in Progress"
40|"MESSAGE_ERRORS"|"Error(s)"
41|"MESSAGE_WARNINGS"|"Warning(s)"
